#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	60.69688
k__Bacteria|p__Bacteroidetes	38.53264
k__Bacteria|p__Actinobacteria	0.69597
k__Bacteria|p__Proteobacteria	0.07452
k__Bacteria|p__Firmicutes|c__Clostridia	60.66404
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.53264
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.69597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.07452
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.03284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	60.66404
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.53264
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.69597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.07452
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.03284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	38.35274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	30.52916
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	11.72298
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	8.91334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	7.94309
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.55547
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.69597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.17989
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.07452
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.03284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	38.35274
